Source	CreatedDateTimeUtc	Category	Score	Score contextRequired	Score text	ID	SourceUri	User	Content
rtvslo	2015-08-03 15:46:00	Gospodarstvo	3.0	false	0.0	11802.0	http://www.rtvslo.si/gospodarstvo/goriva-cenejsa-trosarine-visje/370974	webman	Zakaj je trosarina na bencin visja od tiste za dizel?
rtvslo	2014-10-27 16:25:00	Gospodarstvo	3.0	false	0.0	12554.0	http://www.rtvslo.si/gospodarstvo/cenejsa-bencin-in-dizel/349715	Mimobeznik	Zanimivo, novembra 2010, ko so bile cene nafte na svetovnih trgih podobne današnjim, smo za dizel plačevali 1,175 eur, 95 - 1,226 eur in 100 - 1,24 eur.  Tečaj eur/usd je bil takrat 1,35, danes je 1,27.
finance	2014-08-12 23:01:00	Gospodarstvo	3.0	false	-1.0	9552.0	http://www.finance.si/8807687/Povpre%C4%8Dna-Slovenija	republican	Saj je vendar splošno znano, da je javni sektor najbolj preplačan prav v Sloveniji! Prej bi rekel preobširen... in premalo učinkovit... sploh glede na to, da ga obubožano gospodarstvo ne more več financirat.
rtvslo	2015-08-15 12:45:00	Gospodarstvo	3.0	false	1.0	9767.0	http://www.rtvslo.si/gospodarstvo/vse-vec-dolgotrajno-brezposelnih/371788	Geres*	"@Binder Dandent: Saj ne pravim, da bi bila zaposlitev za polovicni delivni cas prisila. Zgolj moznost. Potem se pa vsak sam odloci, ali mu to ustreza/financno znese ali ne. Tudi ne bi bilo to ""dosmrtna"" odlocitev ) v dolocenem zivljenjskem obdobju bi pac morda to bolj potreboval. Pri nas so sodelavki zaradi bolezni v druzini omogocili polovicni delovni cas. Problem je, ker bi se moralo dolicuti obdobje trajanja, da lahko v tem casu najames pomoc. Ce ne se delo zgolj razporedi med ostale, ki so tako se dodatno obremenjeni."
rtvslo	2015-06-21 11:01:00	Politika	2.0	false	0.0	11057.0	https://www.rtvslo.si/evropska-unija/atene-v-zadnjem-trenutku-s-predlogom-za-koncno-resitev-krize/368024	pedalski	Nekdo je hotel sliko povprečne plače v Grčiji. Je borih 700€ http://cs540104.vk.me/c540105/v540105775 /29af4/Vx_plUWE9TI.jpg
rtvslo	2015-10-14 22:28:00	Šport	3.0	false	1.0	10088.0	http://www.rtvslo.si/sport/odbojka/ep-v-odbojki-2015/giani-slovenija-lahko-postane-tudi-evropski-prvak/376344	Triomidva	"Vrhunsko, perfektno, navdušujoče. Balzam za vsa tista razočaranja v ekipnih športih v preteklem letu (no, kljub vsem debaklom ima Srečko popravni izpit v dodanih kvalifikacijah), všeč mi je odnos fantov do reprezentance (ki so skupaj s hokejisti daleč najbolj ""za Slovenijo""), všeč mi je trener. Vrhunski, predrzen, upravičeno samozavesten. Čestitke, res bom z veseljem gledal vse vaše tekme do konca turnirja!  ps Inžinirju ""V zadnjih točkah mi je bilo srce 200 na uro.Da se malo pošalim. Če mu je srce bilo z 200 udarci na uro, je to enako 3,33 udarce na minuto. Želel je pa verjetno povedati, da mu je bilo hitro."" Hipotetično ima Čebulj pri svojih 23 letih maksimalno srčno frekvenceo 197 (po formuli 220-število let, ki se jo pretežno uporablja). Ne vem, če je veliko zemljanov, ki loči med tema dvema frekvencama (in niso top shit bobnarji) :D"
24ur	2015-10-18 21:55:00	Šport	3.0	false	-1.0	10198.0	http://www.24ur.com/sport/ostalo/slovenija-francija-odbojka-finale-evropsko-prvenstvo-sofija.html?bl=1	sonček44	Zdaj pa naj nehajo Bulgari z nagradami za svoje, čudno da so bili četrti, sedaj pa si za posameznike delijo nagrade
reporter	2015-07-06 10:29:07	Politika	2.0	false	0.0	10798.0	http://www.reporter.si/komentar/bernard-br%C5%A1%C4%8Di%C4%8D-konec-evrske-agonije-ad-calendas-graecas/53578	donkihot	***nepregledna mnozica***Bilo naj bi jih vsaj 15 (petnajst..z besedo..)
rtvslo	2013-09-05 14:38:00	Šport	3.0	false	0.0	8264.0	http://www.rtvslo.si/sport/kosarka/ep-v-kosarki-2013/junaki-za-spanski-skalp-na-igriscu-pustili-zob-in-srce/316914	scenic	finska in švedska pa igrata brez obrambe. kar 27-27 po 1. četr.
24ur	2013-12-05 08:00:00	Šport	3.0	false	1.0	11879.0	http://www.24ur.com/tina-maze-ja-precej-sokantno-je-vse-skupaj-a-ni-tako-crno.html?bl=1	Oliguma	Kar korajžno naprej...
finance	2014-11-24 17:46:00	Gospodarstvo	3.0	false	-1.0	7828.0	http://www.finance.si/8813301/Razkrivamo-sindikalisti-med-slovenskimi-pla%C4%8Dnimi-rekorderji	palmal	Za tak denar bi nalajal tudi papeža! Podobnost s sindikalisti je zgolj slučajna.
24ur	2013-12-05 16:49:00	Šport	3.0	false	1.0	12047.0	http://www.24ur.com/tina-maze-ja-precej-sokantno-je-vse-skupaj-a-ni-tako-crno.html?bl=1	blazter	Glede na to kar je dosegla v lanski sezoni, je letošnji začetek slab. Ampak, sezona je dolga... In Tina je trma. Forma pride. Želela je osvojiti kristalni globus-ga je, želi si zlato olimpijsko medaljo-dobila jo bo! Glede na vse odrekanje, fizične napore, psihične obremenitve, tveganje, mraz.... ta denar sploh ni pomemben. Lansko zimo nas je razveseljevala, še nas bo! Pa še Ilka se dviguje... Politiki tudi lepo zaslužijo, pa kaj imamo od njih? Slabo voljo. Non stop.
rtvslo	2015-09-13 13:18:00	Šport	3.0	true	0.0	8210.0	http://www.rtvslo.si/sport/nogomet/prva-liga/maribor-z-visoko-zmago-v-gorici-osrecil-tudi-olimpijo/373874	tomjaz11	sem pogledal gole Rudarja, kakšne tri gole, pa je dobil Hosman...
rtvslo	2014-02-17 15:03:00	Šport	3.0	false	1.0	12218.0	http://www.rtvslo.si/sport/oi-2014/12-dan-socija-dvojna-norveska-zmaga-jelenko-16/330097	deformero	V glavnem : Naša TINA MAZE še naprej NIZA MATE! (anagram)
rtvslo	2015-01-04 14:03:00	Šport	3.0	false	0.0	8348.0	http://www.rtvslo.si/sport/zimski-sporti/video-bergisel-prevcu-verjetno-vzel-sanje-o-skupni-zmagi/354988	naj-ekspert	Prevc rabi v teh pogojih rekord skakalnice da bi se lahko kosal z pozneje z kraftom in hayboeckom.
rtvslo	2015-03-11 12:03:00	Šport	3.0	false	1.0	8941.0	http://www.rtvslo.si/sport/zimski-sporti/lep-uspeh-slovenskega-smucanja-hrobat-svetovni-prvak-hadalin-srebrn/360244	strojko	jaz mislim da bi ves tak perspektiven podmladek moral Massi prevzet pod svoje okrilje in bi imeli več šampionov tudi v članskih vrstah
rtvslo	2014-08-04 15:05:00	Drugo	3.0	false	0.0	12730.0	http://www.rtvslo.si/moja-generacija/iz-katerega-zaklja-vzeti-denar-za-skupno-promocijo-slovenije-kot-turisticne-destinacije/342610	GUESS	Binder, z mlini na veter se očitno boriš. Čisto korekten kazalec (prihodek od turizma na prebivalce) pove kar veliko o razvitosti turizma. Pove med drugim tudi to, da SORAZMERNO Slovenija (glede na svojo velikost v kvadratih in število prebivalcev) dosega večje rezultate iz turistične dejavnosti, kot Francija, ki je sicer turistična velesila in ima seveda v ABSOLUTNIH številkah več turistov in več milijard od turizma. Zato ti dajem vse priznanje za post ob 09.23.  Podatki, kot so število mednarodnih prihodov ali pa prihodki iz naslova turizma so v absolutnih številkah premalo ilustrativni, da bi lahko primerjali države med sabo.
rtvslo	2015-04-07 12:05:00	Gospodarstvo	3.0	false	0.0	9707.0	http://www.rtvslo.si/gospodarstvo/marca-obcutno-vec-zaposlitev-brezposelnost-se-je-zmanjsala-po-vsej-sloveniji/362283	K_ris	@ZeK  lani sem kar dobro spremljal to zadevo, ker si je eden od bližnjih iskal službo. In vem, da je bilo kar precej različnih programov aktivne politike zaposlovanja (oprostitev prispevkov za mlade do 30 let; subvencija za tiste, ki so na zavodu več kot 6 mesecev; subvencija za zaposlitev v nekaterih manj razvitih regijah; mentorstvo za mlade). Ali je letos tega še več kot lani, pa ne vem, ker zdaj tega nisem tako aktvino spremljal kot lani ob tem času.
rtvslo	2015-10-18 11:34:00	Šport	3.0	false	1.0	8737.0	http://www.rtvslo.si/sport/nogomet/zgodovina-se-ponavlja-slovenija-proti-ukrajini-odlocitev-znova-17-11/376596	tily	Naj se ponovi November 1999! :)
24ur	2015-10-28 12:08:00	Gospodarstvo	3.0	false	0.0	10566.0	http://www.24ur.com/novice/gospodarstvo/volkswagen-z-milijardno-izgubo-a-prihodki-od-prodaje-v-letni-primerjavi-zrasli.html?bl=0	srecnii	Ah vw je že zdavnaj slab avto, najboljši so bili golf 2 dizl pa golf 4 s 1.9 dizl motorjem
rtvslo	2015-07-29 07:41:00	Gospodarstvo	3.0	false	-1.0	10773.0	http://www.rtvslo.si/gospodarstvo/po-izbruhu-krize-leta-2008-letos-najvec-prodaj-nepremicnin/370612	AM	Kdaj bo GURS končno popravil vrednosti nepremičnin. Sedanje v rednosti so stare že leto in pol !
rtvslo	2015-08-31 11:49:00	Gospodarstvo	3.0	false	1.0	8898.0	http://www.rtvslo.si/gospodarstvo/gospodarska-rast-lani-3-odstotna-cerar-pot-iz-krize-je-zahtevna/372862	argonada	3. kvartal bo verjetno tudi dober, ker beremo na sosednji novici, da se je število turistov povečalo za 20%, nočitev pa za 13%. Delež turizma v BDP je tudi nekje 13%, torej bomo v 3. kvartalu imeli cca 1,5% večji BDP samo od tega.
rtvslo	2015-10-20 12:24:00	Šport	3.0	false	-1.0	8712.0	http://www.rtvslo.si/sport/nogomet/slovenija-bo-ukrajino-gostila-v-trdnjavi-ljudski-vrt/376741	juve91	NZS je popustila željam večine javnosti in pa tudi verjetno reprezentantov. So pa zato dali tako veliko ceno vstopnice, da bodo lahko imeli izgovor v primeru neuspeha(tekma bila v mb, niti napolnili niste stadiona,..). Je pa res, da če z prve tekme ne pridejo z ugodnim rezultatom, bo samo pol stadiona.  Namesto da bi dali normalno ceno, zdaj ko nas igralci najbolj potrebujejo.
rtvslo	2015-06-02 11:25:00	Politika	3.0	false	1.0	10972.0	http://www.rtvslo.si/evropska-unija/eu-ecb-in-imf-dolocili-pogoje-za-koncanje-pogajanj-z-grcijo/366511	rok69	naj gredo ven iz Eu območja in bodo počitnice z DRAHMO spet poceni......in še boljše kot pri sosedih...
24ur	2013-02-28 23:38:00	Šport	3.0	false	1.0	10192.0	http://www.24ur.com/sport/zimski_sporti/prevc-spet-v-igri-za-medaljo.html?ar=	smajlena86	Prevc super! Čestitam pa tudi Stochu za dober nastop in zmago.
rtvslo	2015-07-14 21:30:00	Šport	3.0	false	0.0	12372.0	http://www.rtvslo.si/sport/nogomet/razplet-po-vijolicastih-zeljah-zmaga-brez-prejetega-gola/369697	nomenestomen	Ja men zdele pise 8765 gledalcev....sej ce jih je 17.000 je pac rating 3. Se namesto.2 mnozi s 3  24x50x3=3600 eur za 12 minut oglasov.....
rtvslo	2011-03-15 13:32:00	Šport	3.0	false	1.0	8935.0	http://www.rtvslo.si/sport/zimski-sporti/tezave-nasega-smucanja-nikakor-niso-plod-slabega-dela/253077	jang	elaine ima kar prav, odgovor na dilemo ki jo potem postavi tuditi (kaj potem ko se gre v srednjo šolo) je pa pomoje smučarska gimnazija, tako kot jo imajo Avstrijci. Torej da se vzame najbolj talentirane alpske in nordijske smučarje v takšno gimnazijo in internat. Del dneva šola drugi del treningi.  Recimo internat v Kranjski Gori ali Planici, v šolo hodijo na Jesenice. Trenirajo v Kranjski Gori,Trbižu, Planici in Tamarju, biatlonci na Pokljuki. Relativno majhne razdalje
finance	2014-04-17 17:28:00	Gospodarstvo	3.0	true	0.0	10346.0	http://www.finance.si/8800842/Vse-(trenutne)-svetovalne-pogodbe-DUTB	Neuvrscen	A tale IT strokovnjak Darjan Petrič je nekdanji plavalec?
24ur	2015-11-14 20:19:00	Šport	3.0	false	-1.0	8699.0	http://www.24ur.com/sport/nogomet/ukrajina-slovenija.html?bl=0	PeterPan55	V Mariboru jih bomo vun vrgli in pika!
rtvslo	2015-06-10 12:31:00	Gospodarstvo	3.0	false	0.0	9403.0	http://www.rtvslo.si/gospodarstvo/ali-bo-telekom-prodan-za-2-5-krat-manj-kot-je-sprva-pricakovala-vlada/367190	K_ris	@ata  Če si spremljal, v SD sploh nočejo prodati in so bili tudi na zadnji seji vlade edini proti temu, da se zadeva vrne na SDH. Zato se mi ne zdi, da bi se njim prodaja splačala. Bo treba poiskati koga drugega, ki se mu splača.
rtvslo	2013-09-09 10:23:00	Šport	3.0	false	-1.0	8259.0	http://www.rtvslo.si/sport/kosarka/ep-v-kosarki-2013/foto-poljaki-za-slovo-junakom-primazali-zausnico/317234	badžo	Pa ne vem, od kje bi mi španci in hrvati imeli 3 točke? Prenaša se samo zmage. Vsak od naštetih je enkrat zmagal kar pomeni DVE točki naprej.
rtvslo	2015-08-31 17:35:00	Gospodarstvo	3.0	false	0.0	11821.0	http://www.rtvslo.si/moja-generacija/bencin-od-polnoci-najcenejsi-po-novembru-2011/372887	Majora	Jaz sem pa ravnokar prišel iz bencinskega servisa.  /facepalm
rtvslo	2015-07-28 15:18:00	Šport	3.0	false	0.0	8300.0	http://www.rtvslo.si/sport/kosarka/ep-v-kosarki-2015/na-eurobasket-2015-kot-kaze-brez-prvega-junaka/370570	mikedean	"Imre je vprašal: ""V čem bi bila torej tale reprezentanca boljša od te, ki bo igrala?""  Grem po vrsti: G.Dragić (nesporni vodja, ki bi tudi soigralce naredil boljše) B.Udrih (kot drugi play definitivno boljši kot zdaj prvi play Klobučar; prinesel bi izkušnje in dober pregled nad igro; seveda, če bi potlačil svoj prevelik ego) Z.Dragić (to, da ni igral skoraj nič, pomeni, da je še kako željan igre; največji ""borec"" v reprezentanci; v reprezentanci vedno dal več kot v klubu) Blažič (v Zvezdi je bolj kot ne nazadoval, ampak itak v tej reprezentanci bi bil šele 11., 12. mož) Vujačić (ne bi rekel, da je forma slaba, saj je imel v močni turški ligi  lepo statistiko; nekateri tu preveč kritizirajo Prepeliča in ti bi se gotovo strinjali, da bi Vujačić precej več prinesel reprezenatnci; seveda, če bi potlačil svoj prevelik ego) D.Lorbek (po tistem, ko sta blestela z bratom? Kdaj? Misliš EP 2009? Boljše igre je prikazal, ko ni bilo brata zraven, in sicer v letih 2013 in 2014, kar ni dolgo nazaj) E.Murić (ne strinjam se, da ni naredil napredka; bil je eden izmed nosilcev Partizana + lepa minutaža; gotovo bi bil njegov doprinos večji kot denimo lani) Nachbar (glede Nachbarja se kar strinjam; je tudi že končal reprezentančno kariero, tako da bi ga v tej namišljeni reprezentanci zamenjal z Balažičem, ki ima zelo solidno sezono za sabo) Slokar (njegova najboljša leta so že mimo, ampak za 10 minut na tekmo bi bil še vedno dober) E.Lorbek (v kolikor bi bil zdrav, bi bil še vedno največji slovenski adut pod košem; res pa je, da ne bi bil tako dominanten, kot denimo leta 2009) Vidmar (s turških klubom prišel v evroligo, kot prvi center; ob predpostavki, da bi bilo s kolenom vse v redu, bi ogromno prinesel reprezentanci; seveda njegovi stalni problemi so prosti meti) Begić (ni veliko boljši od Omića, ampk za drugega centra bi bil v redu; Omić bo zdaj prvi center; torej drugi center namišljene je boljši kot prvi center reprezentance realnosti)  Če ta namišljena reprezentanca ni boljša, potem res ne vem..."
rtvslo	2015-05-07 08:35:00	Gospodarstvo	3.0	false	-1.0	7990.0	http://www.rtvslo.si/gospodarstvo/borzni-komentar/nas-oktobra-res-caka-lehman-brothers-xxl/364478	rdeča tableta	Saj ne morem verjet, kakšni komentarji. Krize so umetno ustvarjene, tako kot vojne. Nehajte s takšnimi, da je kriv kapitalizem, lepo prosim. Krivo je to, da ni kapitalizma. Par družin na svetu odloča o vsem, o ceni elektrike, nafte, zlata... Seveda niso vsemogočni in stvari jim bodo ušle izpod vajeti. Ekonomski kolaps se bo zgodil slej ko prej, dolg je večji kot kadarkoli. Ampak lepo prosim, to ni kapitalizem. Niti K od kapitalizma. To je ekonomski gulag, finančni terorizem, piramidna shema. Samo vojska na ulicah še manjka, da bomo še večji sužnji... kar se bo zgodilo v imenu boja proti terorizmu. Prav računajo na to, da ko bodo stvari šle k vragu, bodo za to krivili kapitalizem. Ljudje naj bi jim nasedli in tako dali še več moči politiki, ki pa je tako ali tako v žepu teh offshore megabank. Kakšen kapitalizem je to, če imaš centralne banke (centrala in kapitalizem me gresta skupaj), ki so privatne in sami sebi tiskajo denar. Ne se hecat no.
rtvslo	2015-06-15 12:21:00	Gospodarstvo	3.0	false	1.0	9364.0	http://www.rtvslo.si/gospodarstvo/sdh-zavrnil-dodatne-pogoje-cinvena-telekom-za-zdaj-ostaja-v-slovenskih-rokah/367539	generacija56	Pravilna odločitev! V Makedoniji ima Telekom vloženih 100 milijonov lastniškega deleža, ki raste vsako leto. Ta denar bi Cinven dobil, kot češnjo na torti!
24ur	2015-08-30 17:13:00	Drugo	3.0	false	-1.0	11230.0	http://www.24ur.com/novice/svet/prvo-neformalno-srecanje-pahorja-in-hrvaske-predsednice-po-izbruhu-arbitrazne-afere.html?bl=0	nevtroalko	potrebujemo nacionalistično stranko ki nebo postavljala muslimanov pred slovence tako kot ta vlada. ljudje so brez služb na robu revščine država pa bi socialo podpral muslimane ki so si sami uničili državo. ta vlada ima raje vse drugo kot slovence
finance	2014-08-13 08:15:00	Gospodarstvo	3.0	false	0.0	9542.0	http://www.finance.si/8807687/Povpre%C4%8Dna-Slovenija	gogofo	Res da je po grafikonu kar nekaj držav kjer so plače v javnem sektorju precej višje od plač v gospodarstvu kot je to v Sloveniji. Je pa zanimivo da so na grafikonu višje od nas države ki so praviloma uspešnejše in bogatejše od Slovenije. Nižje od nas pa so države ki so že bankrotirale ali pa so pred bankrotom.
24ur	2015-07-17 22:04:00	Šport	3.0	false	1.0	8042.0	http://www.24ur.com/sport/nogomet/1_snl/foto-maribor.html?bl=0	soba666	sem se kar nasmejala ob poslušanju tekme, Bor in Arghus, bravo za debi, haha, saj ne moreš bit jezen, srečno v sredo pubeci
24ur	2015-08-30 12:16:00	Drugo	3.0	false	-1.0	11358.0	http://www.24ur.com/novice/svet/prvo-neformalno-srecanje-pahorja-in-hrvaske-predsednice-po-izbruhu-arbitrazne-afere.html?bl=0	johanca123	Itak je brez veze prepirat okol tega, meje so postavli rdečuharji pred pol stoletja, zdej naj pa rešijo zadevo al pa na galge z njimi.
finance	2009-09-25 13:49:00	Gospodarstvo	3.0	false	-1.0	10468.0	http://www.finance.si/258765/ECB-Rast-posojil-zasebnemu-sektorju-se-je-skoraj-ustavila	matejhoc	"Seveda traja posojilni krč, če pa banke, ki so dobile denar za poslovanjem s prebivalstvom, le tega držijo pri sebi, kot mačka mlade. Najbrš zato, da povrnejo denar, ki so ga zapravile, ko so financirale tajkune in politične lakaje širom po Sloveniji. Če pa želiš kredit kot zasebnik, potrebuješ pa hipoteko, ki je vsaj še enkrt več vredna, poroka, ki ima vsaj še enkrat višjo plačo kot ti in da ne omenjamo, da potrebuješ tudi službo v podjetju, ki ima reference za 30 let nazaj in naprej. Ph, banda pokvarjena. Vsi dvignit denar naenkrat in se bo potem videlo kdo bo koga prosil. Še posebno, ker bo prišlo do totalnega zloma. Ljudje vedno preživimo, še posebno v sloveniji, kjer ima vsak, še tak ""ljubljančan"", kakšne veze na deželi in vsaj stradali ne bomo. Potrebna bo nova svetovna in slovenska ureditev."
24ur	2013-12-13 01:54:00	Šport	3.0	false	-1.0	12061.0	http://www.24ur.com/sport/zimski_sporti/lindsey-vonn-razmislja-da-do-socija-ne-bo-vec-nastopala.html?bl=0	toplisendvič	Ameriške rxxx zdrxxxxx se na Vonnovo. Eni >>visoko izobraženi fotelirji<< tu nekaj klamfate in pišete,da Mazejeva ne bi dobila svetovni pokal v smučanju,če ne bi se Kildowa poškodovala.??!! Pozabljate pa >>dragi veleumi iz kavča>>,da je Tina že imela več kot 400 točk prednosti pred Vonnovo še preden se je vaša ameriška ljubica poškodovala,ali to eni butalci tu seveda pozabijo omeniti!!!
rtvslo	2015-08-17 13:35:00	Gospodarstvo	2.0	false	1.0	11673.0	http://www.rtvslo.si/gospodarstvo/naftni-derivati-bodo-znova-rahlo-cenejsi/371941	vojnaslo45	Sigurno pade pod 1€ :D :D :D :D
reporter	2015-11-08 08:59:12	Gospodarstvo	3.0	false	-1.0	9621.0	http://www.reporter.si/slovenija/7-ekonomskih-zmot-o-migrantih-ki-naj-bi-gospodarsko-o%C5%BEivili-postarano-evropo/56631	Relak	S tem, ko se današnji levičarji oklepajo multikulturnosti so dejansko zapustili svoje poslanstvo zaradi katerega je levičarstvo bilo nastalo. To pa je borba za pravično delitev dohodka med ustvarjalci dobrin in tisti kateri imajo proizvodna sredsstva, torej lastniki kapitala ali v preteklosti lastniki tovarn. Dejansko zdaj levičarji stremijo za tem, da bi te ljudi vzdrževali jim dajali socialne pomoči in bi za to oni dobili volilne glasove. To gre do neke mere vendar ko pride do kritične mase socialnih transferjev, potem nastane kaos, kot se je to zgodilo v Sloveniji. Dejansko nihče noče več dečati in ustvarjati, ne delavec niti znanstvenik ko ugotovi,. da boljše živi če dobi socilane transferje, več jih je namreč moč dobiti v večih oblikah. Seveda pa pri tem ne smemo po0zabiti tudi na desničarje kateri imajo tudi enak problem, vendar je ta problem kopičenje kapitala kateri tem posameznikom dejansko ničemer ne služi in jim ne koristi. Posledica tega kopičenja kapitala je ta težnja po multikulturnosti levičarjev, kateri mislijo, da bodo na ta način zaustavili to besnenje desničarjev za kapitalom. Desničarsto mora biti usmerjeno v vzdrževanje reda, pravičnosti, pravice enakopravnosti v državi. To je bil temelj desničarstva na primer pred 50 in več leti. Zato so tudi narodi kateri so trpeli pod titoizmom in stalinizmom trpeli tiranijo hrepeneli po zahodniem političnem demokratičnem sistemu. Zdaj ko se je ta sistem izpel in pokvaril je razočaranje toliko večje.
rtvslo	2014-02-09 19:15:00	Šport	3.0	true	0.0	9127.0	http://www.rtvslo.si/sport/oi-2014/smucarski-skoki/video-imamo-medaljo-prevc-nas-car-nas-peter-veliki/329472	daryankoff	Težke razmere sedaj.
24ur	2013-11-06 14:33:00	Drugo	3.0	false	-1.0	13023.0	http://www.24ur.com/novice/gospodarstvo/zaposlovanje-tujina.html?ts=1397162042&stream_cat=4	onna81	Verjetno jih je dosti, ki bo zgrabilo delo v tujini - celo tisti, ki so bili glasni, ko so vcasih prisli k nam tujci iskat sluzbo. Dvolicnost pa taka..
rtvslo	2015-10-18 12:05:00	Šport	3.0	false	-1.0	8753.0	http://www.rtvslo.si/sport/nogomet/zgodovina-se-ponavlja-slovenija-proti-ukrajini-odlocitev-znova-17-11/376596	plexi	Zgodovina se samo delno ponavlja. Že res, da ponovno igramo proti Ukrajini, a tokrat bo Ukrajina Katanca in njegovo četico posilila. Srečko tokrat ne bo srečko - žal v ekipi ni Zlatkota ;)
rtvslo	2012-05-31 10:06:00	Gospodarstvo	3.0	false	1.0	10777.0	http://www.rtvslo.si/slovenija/stanovanjski-sklad-bo-kupil-za-40-milijonov-evrov-stanovanj-in-jih-ponudil-na-trgu/284231	Coen	@ gman,  nikjer ne piše, da bi stanovanjski sklad kupoval ta stanovanja po 2.200 evrov. Tolikšna je trenutna prodajna cena, ki jo postavljajo banke in obstaja možnost, da bi sklad to ceno zbil, sploh če gre za nakup več stanovanj naenkrat. In pa seveda upoštevaj trenutne dejavnike - ta stanovanja se prodajajo že kar nekaj časa, tako da bi se z dobrimi pogajalci lahko zmenili za solidno ceno.
rtvslo	2015-02-03 12:18:00	Gospodarstvo	3.0	false	0.0	9716.0	http://www.rtvslo.si/gospodarstvo/januarja-se-je-brezposelnost-krepko-povecala/357413	K_ris	Tudi v najboljših letih se je januarja brezposelnost vedno zvišali v primerjavi z decembrom.
